"";"input";"filtered";"denoisedF";"denoisedR";"merged";"nochim"
"LOM_70";4510;4115;3401;4072;3207;3207
"LOM_71";6209;5792;4751;5656;4291;4291
"LOM_72";4715;4443;3850;4371;3557;3557
"LOM_73";7729;6950;6261;6927;5867;5796
"LOM_74";6350;5693;5116;5561;4652;4624
"LOM_75";5960;5550;4542;5496;4148;4115
"LOM_76";7678;7187;5248;7061;4788;4788
"LOM_77";132;120;62;61;61;61
"LOM_78";5;3;1;1;0;0
"LOM_79";15;14;9;9;9;9
"LOM_80";6598;6245;5677;6204;5089;5044
"LOM_81";4857;4535;3433;4479;3133;3118
"LOM_82";6981;6446;5668;6363;5288;5288
"LOM_83";4506;4074;3738;3969;3161;3161
"LOM_84";10386;9670;9358;9608;8853;8735
